simulation_ts,exchange,symbol,order_id,client_order_id,side,type,qty,price,realized_pnl,equity
1767977241402000000,OKX,BTC-USDT,2361,69da771dG7627539949767625017,BUY,LIMIT,1,91454.2,0,107738.55
1767977370702000000,OKX,BTC-USDT,2362,69da771dG7627539949767625018,BUY,LIMIT,1,91438.6,0,107067.7
1767977498302000000,OKX,BTC-USDT,2363,69da771dG7627539949767625019,BUY,LIMIT,1,91445.8,0,107384.45
1767977629602000000,OKX,BTC-USDT,2364,69da771dG7627539949767625020,BUY,LIMIT,1,91594.4,0,114071.4
1767977759002000000,OKX,BTC-USDT,2365,69da771dG7627539949767625021,SELL,LIMIT,1,91480.3,688.3579344,108588.85
1767977885202000000,OKX,BTC-USDT,2366,69da771dG7627539949767625022,SELL,LIMIT,1,91574.1,782.1579344,113048.3
1767978016512000000,OKX,BTC-USDT,2367,69da771dG7627539949767625023,SELL,LIMIT,1,91581.5,789.5579344,113373.85
1767978148002000000,OKX,BTC-USDT,2368,69da771dG7627539949767625024,SELL,LIMIT,1,91526.6,734.6579344,111013.1
1767978278902000000,OKX,BTC-USDT,2369,69da771dG7627539949767625025,BUY,LIMIT,1,91562,0,112495.65
1767978409908000000,OKX,BTC-USDT,2370,69da771dG7627539949767625026,SELL,LIMIT,1,91570.8,760.9496103,112878.3
1767978542308000000,OKX,BTC-USDT,2371,69da771dG7627539949767625027,SELL,LIMIT,1,91574.1,764.2496103,113016.85
1767978675408000000,OKX,BTC-USDT,2372,69da771dG7627539949767625028,BUY,LIMIT,1,91419.4,0,106670
1767978807408000000,OKX,BTC-USDT,2373,69da771dG7627539949767625029,BUY,LIMIT,1,91248.3,0,99483.75
1767978933808000000,OKX,BTC-USDT,2374,69da771dG7627539949767625030,SELL,LIMIT,1,91194.8,360.5775354,97187.5
1767979065008000000,OKX,BTC-USDT,2375,69da771dG7627539949767625031,BUY,LIMIT,1,91061.4,0,91580.45
1767979197508000000,OKX,BTC-USDT,2376,69da771dG7627539949767625032,BUY,LIMIT,1,90989.3,0,88480.1
1767979329708000000,OKX,BTC-USDT,2377,69da771dG7627539949767625033,BUY,LIMIT,1,91105.6,0,93597.25
1767979461508000000,OKX,BTC-USDT,2378,69da771dG7627539949767625034,BUY,LIMIT,1,91227.4,0,99078.2
1767979597408000000,OKX,BTC-USDT,2379,69da771dG7627539949767625035,BUY,LIMIT,1,91153.6,0,95683.35
1767979729908000000,OKX,BTC-USDT,2380,69da771dG7627539949767625036,SELL,LIMIT,1,91108.4,245.1097125,93563.6
1767979861308000000,OKX,BTC-USDT,2381,69da771dG7627539949767625037,BUY,LIMIT,1,91033.7,0,89713.85
1767979993218000000,OKX,BTC-USDT,2382,69da771dG7627539949767625038,BUY,LIMIT,1,91139.1,0,95076.5
1767980123508000000,OKX,BTC-USDT,2383,69da771dG7627539949767625039,BUY,LIMIT,1,91100,0,93199.65
1767980254208000000,OKX,BTC-USDT,2384,69da771dG7627539949767625040,BUY,LIMIT,1,91197.4,0,97972.2
1767980385308000000,OKX,BTC-USDT,2385,69da771dG7627539949767625041,SELL,LIMIT,1,91180,296.3689355,97107.15
1767980523008000000,OKX,BTC-USDT,2386,69da771dG7627539949767625042,SELL,LIMIT,1,91173,289.3689355,96764.1
1767980651718000000,OKX,BTC-USDT,2387,69da771dG7627539949767625043,BUY,LIMIT,1,91112.4,0,93850.45
1767980791808000000,OKX,BTC-USDT,2388,69da771dG7627539949767625044,BUY,LIMIT,1,91144.9,0,95057.9
1767980921108000000,OKX,BTC-USDT,2389,69da771dG7627539949767625045,BUY,LIMIT,1,91374.2,0,106907.85
1767981050008000000,OKX,BTC-USDT,2390,69da771dG7627539949767625046,SELL,LIMIT,1,91477.8,574.9413511,112196.5
1767981187908000000,OKX,BTC-USDT,2391,69da771dG7627539949767625047,SELL,LIMIT,1,91487.2,584.3413511,112666.45
1767981323708000000,OKX,BTC-USDT,2392,69da771dG7627539949767625048,SELL,LIMIT,1,91419.9,517.0413511,109368.7
1767981455908000000,OKX,BTC-USDT,2393,69da771dG7627539949767625049,SELL,LIMIT,1,91389.3,486.4413511,107899.85
1767981592108000000,OKX,BTC-USDT,2394,69da771dG7627539949767625050,SELL,LIMIT,1,91373.4,470.5413511,107290.5
1767981723428000000,OKX,BTC-USDT,2395,69da771dG7627539949767625051,BUY,LIMIT,1,91362.7,0,106655.65
1767981850908000000,OKX,BTC-USDT,2396,69da771dG7627539949767625052,BUY,LIMIT,1,91416.5,0,109184.2
1767981983908000000,OKX,BTC-USDT,2397,69da771dG7627539949767625053,SELL,LIMIT,1,91438.1,514.9604614,110225.75
1767982113503000000,OKX,BTC-USDT,2398,69da771dG7627539949767625054,SELL,LIMIT,1,91391.9,468.7604614,108054.3
1767982239933000000,OKX,BTC-USDT,2399,69da771dG7627539949767625055,SELL,LIMIT,1,91255.4,332.2604614,101775.25
1767982375003000000,OKX,BTC-USDT,2400,69da771dG7627539949767625056,SELL,LIMIT,1,91199.2,276.0604614,99312.2
1767982503503000000,OKX,BTC-USDT,2401,69da771dG7627539949767625057,SELL,LIMIT,1,91210,286.8604614,99721.35
1767982629903000000,OKX,BTC-USDT,2402,69da771dG7627539949767625058,SELL,LIMIT,1,91035.2,112.0604614,92351.9
1767982755803000000,OKX,BTC-USDT,2403,69da771dG7627539949767625059,BUY,LIMIT,1,90969.1,0,89424.45
1767982881103000000,OKX,BTC-USDT,2404,69da771dG7627539949767625060,BUY,LIMIT,1,90977.9,0,89802.8
1767983009303000000,OKX,BTC-USDT,2405,69da771dG7627539949767625061,BUY,LIMIT,1,90831.7,0,83369.95
1767983139803000000,OKX,BTC-USDT,2406,69da771dG7627539949767625062,SELL,LIMIT,1,90755.5,-167.8457915,79945.4
1767983272003000000,OKX,BTC-USDT,2407,69da771dG7627539949767625063,SELL,LIMIT,1,90660,-263.3457915,75743.35
1767983404503000000,OKX,BTC-USDT,2408,69da771dG7627539949767625064,BUY,LIMIT,1,90615.8,0,73838.4
1767983533003000000,OKX,BTC-USDT,2409,69da771dG7627539949767625065,BUY,LIMIT,1,90447.7,0,66441.95
1767983664503000000,OKX,BTC-USDT,2410,69da771dG7627539949767625066,BUY,LIMIT,1,90560.1,0,71499.9
1767983798503000000,OKX,BTC-USDT,2411,69da771dG7627539949767625067,BUY,LIMIT,1,90753,0,80373.25
1767983934203000000,OKX,BTC-USDT,2412,69da771dG7627539949767625068,SELL,LIMIT,1,90734.7,-160.6291284,79517.8
1767984063003000000,OKX,BTC-USDT,2413,69da771dG7627539949767625069,BUY,LIMIT,1,90714.4,0,78278.55
1767984199203000000,OKX,BTC-USDT,2414,69da771dG7627539949767625070,SELL,LIMIT,1,90796.1,-95.37957251,82423.9
1767984329503000000,OKX,BTC-USDT,2415,69da771dG7627539949767625071,BUY,LIMIT,1,90739.5,0,79815.65
1767984456103000000,OKX,BTC-USDT,2416,69da771dG7627539949767625072,BUY,LIMIT,1,90704,0,78147.1
1767984585963000000,OKX,BTC-USDT,2417,69da771dG7627539949767625073,BUY,LIMIT,1,90870.8,0,86153.45
1767984721903000000,OKX,BTC-USDT,2418,69da771dG7627539949767625074,SELL,LIMIT,1,90840.7,-43.42980277,84683.4
1767984863503000000,OKX,BTC-USDT,2419,69da771dG7627539949767625075,SELL,LIMIT,1,90843.5,-40.62980277,84817.75
1767985002703000000,OKX,BTC-USDT,2420,69da771dG7627539949767625076,SELL,LIMIT,1,90869.1,-15.02980277,86020.9
1767985131303000000,OKX,BTC-USDT,2421,69da771dG7627539949767625077,SELL,LIMIT,1,90783,-101.1298028,82060.25
1767985267003000000,OKX,BTC-USDT,2422,69da771dG7627539949767625078,BUY,LIMIT,1,90700,0,78320.7
1767985395603000000,OKX,BTC-USDT,2423,69da771dG7627539949767625079,BUY,LIMIT,1,90628.6,0,75036.25
1767985527903000000,OKX,BTC-USDT,2424,69da771dG7627539949767625080,SELL,LIMIT,1,90614.2,-260.5753431,74364.1
1767985657008000000,OKX,BTC-USDT,2425,69da771dG7627539949767625081,BUY,LIMIT,1,90649.9,0,76001.65
1767985782508000000,OKX,BTC-USDT,2426,69da771dG7627539949767625082,BUY,LIMIT,1,90632.7,0,75193.2
1767985905203000000,OKX,BTC-USDT,2427,69da771dG7627539949767625083,BUY,LIMIT,1,90520.1,0,69788.35
1767986033503000000,OKX,BTC-USDT,2428,69da771dG7627539949767625084,SELL,LIMIT,1,90504.9,-353.1074649,69048.4
1767986162203000000,OKX,BTC-USDT,2429,69da771dG7627539949767625085,SELL,LIMIT,1,90489,-369.0074649,68717.55
1767986279403000000,OKX,BTC-USDT,2430,69da771dG7627539949767625086,BUY,LIMIT,1,90375.6,0,62950.6
1767986401503000000,OKX,BTC-USDT,2431,69da771dG7627539949767625087,SELL,LIMIT,1,90402.1,-445.8573094,64227.35
1767986525403000000,OKX,BTC-USDT,2432,69da771dG7627539949767625088,BUY,LIMIT,1,90311.4,0,59959.7
1767986652103000000,OKX,BTC-USDT,2433,69da771dG7627539949767625089,SELL,LIMIT,1,90369.1,-467.6790321,62734.05
1767986780703000000,OKX,BTC-USDT,2434,69da771dG7627539949767625090,BUY,LIMIT,1,90308.9,0,59587.9
1767986905403000000,OKX,BTC-USDT,2435,69da771dG7627539949767625091,SELL,LIMIT,1,90309.8,-515.9815523,59947.85
1767987035403000000,OKX,BTC-USDT,2436,69da771dG7627539949767625092,SELL,LIMIT,1,90222,-603.7815523,56653.8
1767987164203000000,OKX,BTC-USDT,2437,69da771dG7627539949767625093,SELL,LIMIT,1,90196.8,-628.9815523,54661.95
1767987290603000000,OKX,BTC-USDT,2438,69da771dG7627539949767625094,BUY,LIMIT,1,90290.8,0,58887.4
1767987417203000000,OKX,BTC-USDT,2439,69da771dG7627539949767625095,SELL,LIMIT,1,90400.2,-413.9515185,63933.35
1767987545903000000,OKX,BTC-USDT,2440,69da771dG7627539949767625096,SELL,LIMIT,1,90345.8,-468.3515185,61476.3
1767987698103000000,OKX,BTC-USDT,2441,69da771dG7627539949767625097,BUY,LIMIT,1,90366.8,0,62395.85
1767987839203000000,OKX,BTC-USDT,2442,69da771dG7627539949767625098,SELL,LIMIT,1,90333.4,-470.8103737,61165.7
1767987968003000000,OKX,BTC-USDT,2443,69da771dG7627539949767625099,BUY,LIMIT,1,90330.1,0,60747.65
1767988097303000000,OKX,BTC-USDT,2444,69da771dG7627539949767625100,SELL,LIMIT,1,90458.8,-334.8745876,66820.8
1767988226403000000,OKX,BTC-USDT,2445,69da771dG7627539949767625101,BUY,LIMIT,1,90493.4,0,67931.05
1767988353503000000,OKX,BTC-USDT,2446,69da771dG7627539949767625102,BUY,LIMIT,1,90566.7,0,71360
1767988472973000000,OKX,BTC-USDT,2447,69da771dG7627539949767625103,SELL,LIMIT,1,90491.2,-291.012649,67891.55
1767988598703000000,OKX,BTC-USDT,2448,69da771dG7627539949767625104,SELL,LIMIT,1,90334.8,-447.412649,61055.9
1767988731303000000,OKX,BTC-USDT,2449,69da771dG7627539949767625105,SELL,LIMIT,1,90308.6,-473.612649,59700.65
1767988854103000000,OKX,BTC-USDT,2450,69da771dG7627539949767625106,BUY,LIMIT,1,90205.8,0,55275.9
1767988990103000000,OKX,BTC-USDT,2451,69da771dG7627539949767625107,BUY,LIMIT,1,90227.5,0,55569.15
1767989116403000000,OKX,BTC-USDT,2452,69da771dG7627539949767625108,SELL,LIMIT,1,90328.6,-428.4765313,60850.6
1767989243200000000,OKX,BTC-USDT,2453,69da771dG7627539949767625109,BUY,LIMIT,1,90342.6,0,60671.65
1767989374600000000,OKX,BTC-USDT,2454,69da771dG7627539949767625110,BUY,LIMIT,1,90381.6,0,63151.1
1767989507100000000,OKX,BTC-USDT,2455,69da771dG7627539949767625111,BUY,LIMIT,1,90336.7,0,61085.65
1767989640700000000,OKX,BTC-USDT,2456,69da771dG7627539949767625112,SELL,LIMIT,1,90357.7,-373.6248378,62196.9
1767989763600000000,OKX,BTC-USDT,2457,69da771dG7627539949767625113,BUY,LIMIT,1,90400,0,64018.45
1767989898600000000,OKX,BTC-USDT,2458,69da771dG7627539949767625114,SELL,LIMIT,1,90310.5,-413.7753732,59816.6
1767990042300000000,OKX,BTC-USDT,2459,69da771dG7627539949767625115,BUY,LIMIT,1,90424.1,0,65037.55
1767990178900000000,OKX,BTC-USDT,2460,69da771dG7627539949767625116,SELL,LIMIT,1,90387.9,-329.9886631,63897.4
1767990306800000000,OKX,BTC-USDT,2461,69da771dG7627539949767625117,BUY,LIMIT,1,90454,0,66353.25
1767990442100000000,OKX,BTC-USDT,2462,69da771dG7627539949767625118,SELL,LIMIT,1,90467.7,-244.5740107,67025.3
1767990571210000000,OKX,BTC-USDT,2463,69da771dG7627539949767625119,SELL,LIMIT,1,90420.2,-292.0740107,64840.25
1767990705100000000,OKX,BTC-USDT,2464,69da771dG7627539949767625120,BUY,LIMIT,1,90452.5,0,66289.2
1767990842800000000,OKX,BTC-USDT,2465,69da771dG7627539949767625121,BUY,LIMIT,1,90492.4,0,68124.55
1767990979100000000,OKX,BTC-USDT,2466,69da771dG7627539949767625122,SELL,LIMIT,1,90486.1,-215.9687336,67929.7
1767991114800000000,OKX,BTC-USDT,2467,69da771dG7627539949767625123,BUY,LIMIT,1,90502.4,0,68578.25
1767991260200000000,OKX,BTC-USDT,2468,69da771dG7627539949767625124,SELL,LIMIT,1,90418.5,-279.3204627,65081.2
1767991399600000000,OKX,BTC-USDT,2469,69da771dG7627539949767625125,SELL,LIMIT,1,90250.4,-447.4204627,56906.95
1767991537900000000,OKX,BTC-USDT,2470,69da771dG7627539949767625126,SELL,LIMIT,1,90319.4,-378.4204627,60011.9
1767991676010000000,OKX,BTC-USDT,2471,69da771dG7627539949767625127,SELL,LIMIT,1,90340.7,-357.1204627,60949.05
1767991812300000000,OKX,BTC-USDT,2472,69da771dG7627539949767625128,SELL,LIMIT,1,90335.3,-362.5204627,60716.8
1767991962300000000,OKX,BTC-USDT,2473,69da771dG7627539949767625129,SELL,LIMIT,1,90264.6,-433.2204627,57747.35
1767992100500000000,OKX,BTC-USDT,2474,69da771dG7627539949767625130,SELL,LIMIT,1,90253.4,-444.4204627,57288.1
1767992247200000000,OKX,BTC-USDT,2475,69da771dG7627539949767625131,BUY,LIMIT,1,90319.9,0,59944.05
1767992382800000000,OKX,BTC-USDT,2476,69da771dG7627539949767625132,BUY,LIMIT,1,90252.7,0,57188.8
1767992546700000000,OKX,BTC-USDT,2477,69da771dG7627539949767625133,BUY,LIMIT,1,90271,0,57690.75
1767992701200000000,OKX,BTC-USDT,2478,69da771dG7627539949767625134,BUY,LIMIT,1,90226.1,0,56026.6
1767992849204000000,OKX,BTC-USDT,2479,69da771dG7627539949767625135,BUY,LIMIT,1,90310.1,0,59722.55
1767993002404000000,OKX,BTC-USDT,2480,69da771dG7627539949767625136,BUY,LIMIT,1,90390.6,0,63082.8
1767993141204000000,OKX,BTC-USDT,2481,69da771dG7627539949767625137,BUY,LIMIT,1,90356,0,61753.35
1767993278204000000,OKX,BTC-USDT,2482,69da771dG7627539949767625138,SELL,LIMIT,1,90328.6,-310.5323087,60470.2
1767993414514000000,OKX,BTC-USDT,2483,69da771dG7627539949767625139,SELL,LIMIT,1,90311.2,-327.9323087,59669.75
1767993561204000000,OKX,BTC-USDT,2484,69da771dG7627539949767625140,BUY,LIMIT,1,90363.6,0,62023.2
1767993712004000000,OKX,BTC-USDT,2485,69da771dG7627539949767625141,BUY,LIMIT,1,90421.9,0,64704.95
1767993868904000000,OKX,BTC-USDT,2486,69da771dG7627539949767625142,SELL,LIMIT,1,90415,-213.6479551,64385.3
1767994010604000000,OKX,BTC-USDT,2487,69da771dG7627539949767625143,BUY,LIMIT,1,90446.9,0,65636.55
1767994151204000000,OKX,BTC-USDT,2488,69da771dG7627539949767625144,SELL,LIMIT,1,90560.5,-64.28097736,71191.9
1767994289804000000,OKX,BTC-USDT,2489,69da771dG7627539949767625145,BUY,LIMIT,1,90495.2,0,67962.55
1767994438804000000,OKX,BTC-USDT,2490,69da771dG7627539949767625146,SELL,LIMIT,1,90513.1,-108.9239353,69029.4
1767994589904000000,OKX,BTC-USDT,2491,69da771dG7627539949767625147,SELL,LIMIT,1,90380.1,-241.9239353,63014.85
1767994736604000000,OKX,BTC-USDT,2492,69da771dG7627539949767625148,BUY,LIMIT,1,90421.3,0,64760.8
1767994887404000000,OKX,BTC-USDT,2493,69da771dG7627539949767625149,BUY,LIMIT,1,90430.8,0,65178.95
1767995040504000000,OKX,BTC-USDT,2494,69da771dG7627539949767625150,SELL,LIMIT,1,90406.6,-207.0846189,64207.6
1767995188004000000,OKX,BTC-USDT,2495,69da771dG7627539949767625151,BUY,LIMIT,1,90403,0,63894.75
1767995347904000000,OKX,BTC-USDT,2496,69da771dG7627539949767625152,SELL,LIMIT,1,90392.8,-216.4019674,63420
1767995502404000000,OKX,BTC-USDT,2497,69da771dG7627539949767625153,SELL,LIMIT,1,90410,-199.2019674,64665.65
1767995648604000000,OKX,BTC-USDT,2498,69da771dG7627539949767625154,BUY,LIMIT,1,90461.7,0,66533.1
1767995848804000000,OKX,BTC-USDT,2499,69da771dG7627539949767625155,BUY,LIMIT,1,90488.5,0,67765.85
1767995993104000000,OKX,BTC-USDT,2500,69da771dG7627539949767625156,SELL,LIMIT,1,90500,-103.4955007,68311
1767996135604000000,OKX,BTC-USDT,2501,69da771dG7627539949767625157,SELL,LIMIT,1,90495.1,-108.3955007,68085.55
1767996301104000000,OKX,BTC-USDT,2502,69da771dG7627539949767625158,BUY,LIMIT,1,90516.9,0,68454.8
1767996441709000000,OKX,BTC-USDT,2503,69da771dG7627539949767625159,BUY,LIMIT,1,90472.9,0,67037.95
1767996591709000000,OKX,BTC-USDT,2504,69da771dG7627539949767625160,BUY,LIMIT,1,90524.9,0,69481.9
1767996733509000000,OKX,BTC-USDT,2505,69da771dG7627539949767625161,SELL,LIMIT,1,90483,-114.3332819,67475.45
1767996871109000000,OKX,BTC-USDT,2506,69da771dG7627539949767625162,BUY,LIMIT,1,90325.9,0,60087
1767997059209000000,OKX,BTC-USDT,2507,69da771dG7627539949767625163,SELL,LIMIT,1,90423.9,-167.7784219,64795.75
1767997202809000000,OKX,BTC-USDT,2508,69da771dG7627539949767625164,SELL,LIMIT,1,90378.4,-213.2784219,62993
1767997350009000000,OKX,BTC-USDT,2509,69da771dG7627539949767625165,BUY,LIMIT,1,90388.6,0,63121.75
1767997522109000000,OKX,BTC-USDT,2510,69da771dG7627539949767625166,SELL,LIMIT,1,90410,-177.3576044,64132.2
1767997723309000000,OKX,BTC-USDT,2511,69da771dG7627539949767625167,BUY,LIMIT,1,90417.6,0,63910.8
1767997862309000000,OKX,BTC-USDT,2512,69da771dG7627539949767625168,BUY,LIMIT,1,90532.4,0,69603.9
1767998008809000000,OKX,BTC-USDT,2513,69da771dG7627539949767625169,BUY,LIMIT,1,90544.8,0,70007.25
1767998164009000000,OKX,BTC-USDT,2514,69da771dG7627539949767625170,SELL,LIMIT,1,90619.4,37.4969428,74128.1
1767998304709000000,OKX,BTC-USDT,2515,69da771dG7627539949767625171,SELL,LIMIT,1,90564.5,-17.4030572,71492.85
1767998462709000000,OKX,BTC-USDT,2516,69da771dG7627539949767625172,SELL,LIMIT,1,90533.3,-48.6030572,70146
1767998627709000000,OKX,BTC-USDT,2517,69da771dG7627539949767625173,SELL,LIMIT,1,90533.1,-48.8030572,70017.15
1767998850009000000,OKX,BTC-USDT,2518,69da771dG7627539949767625174,BUY,LIMIT,1,90540.1,0,70005.6
1767998992909000000,OKX,BTC-USDT,2519,69da771dG7627539949767625175,BUY,LIMIT,1,90569.9,0,71698.35
1767999133909000000,OKX,BTC-USDT,2520,69da771dG7627539949767625176,BUY,LIMIT,1,90547.6,0,70650.2
1767999273509000000,OKX,BTC-USDT,2521,69da771dG7627539949767625177,BUY,LIMIT,1,90582,0,72301.35
1767999417609000000,OKX,BTC-USDT,2522,69da771dG7627539949767625178,SELL,LIMIT,1,90587.4,7.293110737,72570.8
1767999571809000000,OKX,BTC-USDT,2523,69da771dG7627539949767625179,SELL,LIMIT,1,90591.5,11.39311074,73277.5
1767999748609000000,OKX,BTC-USDT,2524,69da771dG7627539949767625180,BUY,LIMIT,1,90592.4,0,72632.3
1767999938309000000,OKX,BTC-USDT,2525,69da771dG7627539949767625181,SELL,LIMIT,1,90616.4,36.03700426,74384.85
1768000076700000000,OKX,BTC-USDT,2526,69da771dG7627539949767625182,BUY,LIMIT,1,90630.9,0,74638.6
1768000276700000000,OKX,BTC-USDT,2527,69da771dG7627539949767625183,BUY,LIMIT,1,90637.8,0,74969.75
1768000425300000000,OKX,BTC-USDT,2528,69da771dG7627539949767625184,BUY,LIMIT,1,90660,0,76057.5
1768000620300000000,OKX,BTC-USDT,2529,69da771dG7627539949767625185,BUY,LIMIT,1,90659,0,76007.45
