simulation_ts,equity
1767732160809000000,86014.7
1767732286009000000,86102.45
1767732406309000000,85833.6
1767732537209000000,85733.55
1767732660409000000,85607.7
1767732789909000000,85220.05
1767732910609000000,85446.1
1767733041809000000,85384.35
1767733164309000000,85155.8
1767733295609000000,85120.35
1767733418809000000,84921.8
1767733541804000000,84774.95
1767733669304000000,84845.4
1767733806304000000,84725.35
1767733931104000000,86646.8
1767734048204000000,87190.75
1767734168501000000,90571.7
1767734290701000000,91746.05
1767734418302000000,91527.3
1767734542002000000,89763.25
1767734668902000000,90621.4
1767734787512000000,89974.55
1767734914302000000,89986.4
1767735041412000000,90634.35
1767735162712000000,90304.9
1767735283802000000,92252.45
1767735410102000000,90609
1767735547302000000,89826.55
1767735675802000000,90280.1
1767735807602000000,90769.65
1767735935902000000,90783.6
1767736060302000000,90113.95
1767736188007000000,88609.1
1767736319207000000,86524.05
1767736446527000000,87494.2
1767736576307000000,87456.15
1767736711807000000,87504.7
1767736839807000000,87774.25
1767736970267000000,88155
1767737102107000000,88460.95
1767737241800000000,87816.2
1767737367300000000,88605.75
1767737500301000000,86929.9
1767737632311000000,86489.85
1767737764411000000,86593.4
1767737893101000000,85615.75
1767738024901000000,84723.8
1767738153301000000,85372.75
1767738286901000000,86123.5
1767738423501000000,86025.45
1767738595601000000,86494.3
1767738723801000000,85771.85
1767738892501000000,85837
1767739021931000000,85799.95
1767739149801000000,85300.4
1767739282401000000,85161.15
1767739412301000000,85114.9
1767739563001000000,85426.85
1767739702601000000,86027.4
1767739820101000000,86998.55
1767739943401000000,87239.7
1767740071801000000,86818.65
1767740224201000000,87227.1
1767740359701000000,87170.05
1767740490101000000,88192.1
1767740616801000000,88317.05
1767740741003000000,88533.9
1767740865603000000,88503.45
1767740993903000000,89052.4
1767741117623000000,89132.35
1767741268403000000,88929.8
1767741390403000000,89274.55
1767741516123000000,89005.7
1767741641803000000,89275.05
1767741781203000000,88549.3
1767741919903000000,88531.85
1767742049403000000,88714.3
1767742176303000000,89109.05
1767742301503000000,89322.9
1767742428103000000,89393.65
1767742553617000000,89587.7
1767742679917000000,89550.65
1767742806607000000,89392.5
1767742934117000000,89380.85
1767743076607000000,89261.3
1767743218207000000,89408.45
1767743338007000000,89598.6
1767743468707000000,89663.75
1767743600817000000,89753.4
1767743727307000000,89845.75
1767743851407000000,90113.2
1767743980607000000,89988.35
1767744001507000000,90018.6
1767744133607000000,89831.95
1767744268007000000,89838.6
1767744405407000000,89838.55
1767744543007000000,89791.5
1767744691807000000,89827.05
1767744830107000000,89765.8
1767744967607000000,89744.95
1767745094607000000,89359.4
1767745221707000000,89477.25
1767745350707000000,89704.9
1767745475707000000,89541.25
1767745610407000000,89507.3
1767745738607000000,89207.65
1767745867007000000,89111.9
1767745998007000000,88878.85
1767746130407000000,88935.7
1767746257207000000,88935.65
1767746382907000000,88871.1
1767746519807000000,88867.95
1767746641307000000,88934.7
1767746766517000000,88920.45
1767746907507000000,88889.9
1767747029200000000,88889.85
1767747139700000000,88909.3
1767747263900000000,88988.65
1767747383900000000,89067.8
1767747513000000000,88017.35
1767747634203000000,87928.2
1767747782003000000,88169.15
1767747901203000000,88152.3
1767748025306000000,88117.95
1767748148106000000,88159.3
1767748278806000000,88133.85
1767748422606000000,88223.5
1767748551106000000,87538.35
1767748680706000000,87166.3
1767748805406000000,86385.05
1767748933506000000,86815
1767749063606000000,86868.95
1767749190206000000,87061.9
1767749320806000000,86860.85
1767749458106000000,87011
1767749586506000000,86446.55
1767749715716000000,86622.9
1767749843106000000,86350.85
1767749972706000000,86582.7
1767750105406000000,86585.65
1767750240506000000,86450.1
1767750367606000000,86186.45
1767750496106000000,86331.6
1767750619846000000,86189.75
1767750741806000000,86209.5
1767750867106000000,86205.35
1767751001706000000,86186.7
1767751137006000000,86231.25
1767751268606000000,86169.7
1767751392506000000,86168.95
1767751507006000000,86298.2
1767751631805000000,86467.15
1767751755805000000,86449.1
1767751873605000000,86505.65
1767751997605000000,86500.3
1767752119405000000,86572.05
1767752250205000000,86530.3
1767752370805000000,86364.85
1767752495005000000,86566.1
1767752633705000000,86744.85
1767752769405000000,86948.8
1767752893705000000,86903.95
1767753017215000000,86942.3
1767753153305000000,86891.45
1767753301105000000,87178.4
1767753422805000000,87239.95
1767753549005000000,87574.4
1767753680705000000,87613.15
1767753804605000000,87602.6
1767753927905000000,87948.15
1767754057605000000,87834
1767754186005000000,87834.35
1767754321905000000,88047.3
1767754443605000000,88127.05
1767754566905000000,88311.5
1767754707905000000,87989.65
1767754827705000000,88234.1
1767754955905000000,88183.05
1767755097705000000,88184.1
1767755231406000000,88008.45
1767755362506000000,88029.7
1767755540406000000,88111.65
1767755671306000000,88018.6
1767755820906000000,88041.45
1767755951606000000,88438.4
1767756088806000000,88521.55
1767756225806000000,88477.4
1767756391106000000,88451.65
1767756528306000000,88457.3
1767756662006000000,88375.75
1767756795706000000,88213.9
1767756919706000000,88195.45
1767757052706000000,88176.4
1767757205306000000,88176.35
1767757347106000000,88186.4
1767757486806000000,88175.85
1767757622706000000,88187
1767757757606000000,88186.95
1767757909106000000,88160.7
1767758056706000000,88252.15
1767758195106000000,88241.5
1767758335206000000,88241.45
1767758468506000000,88216.4
1767758603006000000,88158.75
1767758753106000000,88089.2
1767758891706000000,88205.95
1767759055806000000,88169
1767759193706000000,88335.55
1767759333906000000,88349.5
1767759478806000000,88349.45
1767759630906000000,88397.2
1767759786606000000,88397.15
1767759937306000000,88432.6
1767760113206000000,88417.55
1767760278906000000,88407
1767760441306000000,88406.95
1767760586806000000,88472.9
1767760782106000000,88467.85
1767760921001000000,88469.4
1767761065601000000,88662.45
1767761238601000000,88624.1
1767761373401000000,88543.45
1767761502301000000,88554.8
1767761627401000000,88539.15
1767761773101000000,88450.3
1767761903001000000,88626.65
1767762032901000000,88422.6
1767762199701000000,88404.55
1767762387401000000,88347.5
1767762521001000000,88433.45
1767762658903000000,88405.8
1767762802003000000,88449.05
1767762930203000000,88507.5
1767763078703000000,88837.45
1767763218903000000,88756.7
1767763363203000000,88753.85
1767763501603000000,88681.8
1767763665603000000,88539.25
1767763802803000000,88633.1
1767763933333000000,88958.65
1767764060303000000,89055.1
1767764189803000000,88858.25
